experiment,model,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,train_class_counts,test_class_counts
arch_binary,majority_baseline,75,26,0.7307692307692307,0.5,0.4222222222222222,0.6170940170940171,"{'plain_arch': 56, 'tented_arch': 19}","{'plain_arch': 19, 'tented_arch': 7}"
arch_binary,resnet18_linear_svc_balanced,75,26,0.46153846153846156,0.40601503759398494,0.40522875816993464,0.489693313222725,"{'plain_arch': 56, 'tented_arch': 19}","{'plain_arch': 19, 'tented_arch': 7}"
arch_binary,resnet18_logistic_balanced,75,26,0.5769230769230769,0.4849624060150376,0.48468468468468473,0.5853083853083854,"{'plain_arch': 56, 'tented_arch': 19}","{'plain_arch': 19, 'tented_arch': 7}"
