experiment,fold,train_rows,test_rows,accuracy,balanced_accuracy,macro_f1,weighted_f1,train_class_counts,test_class_counts
arch_classical_linear_svc_balanced,28,81,20,0.75,0.6333333333333333,0.6415770609318996,0.7401433691756273,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,29,81,20,0.5,0.4666666666666667,0.45054945054945056,0.5329670329670331,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,30,81,20,0.5,0.4666666666666667,0.45054945054945056,0.5329670329670331,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,31,80,21,0.5714285714285714,0.6,0.5552941176470588,0.5915966386554621,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch_classical_linear_svc_balanced,32,81,20,0.55,0.6333333333333333,0.5396419437340154,0.5741687979539642,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,33,81,20,0.7,0.6666666666666666,0.6428571428571428,0.7142857142857142,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,34,81,20,0.35,0.30000000000000004,0.30666666666666664,0.3933333333333333,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,35,81,20,0.6,0.4666666666666667,0.4666666666666667,0.6,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,36,80,21,0.6190476190476191,0.5333333333333333,0.5333333333333333,0.6190476190476191,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch_classical_linear_svc_balanced,37,81,20,0.65,0.7666666666666666,0.6419437340153453,0.6687979539641944,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,38,81,20,0.6,0.6,0.5604395604395604,0.6263736263736264,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,39,81,20,0.75,0.8333333333333333,0.7333333333333334,0.7666666666666666,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,40,81,20,0.45,0.3666666666666667,0.3732193732193732,0.48290598290598297,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,41,80,21,0.5714285714285714,0.65,0.5675057208237986,0.5851585485452763,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch_classical_linear_svc_balanced,42,81,20,0.7,0.6000000000000001,0.6000000000000001,0.7,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,43,81,20,0.7,0.6000000000000001,0.6000000000000001,0.7,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,44,81,20,0.55,0.5666666666666667,0.52,0.58,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,45,81,20,0.55,0.5,0.48717948717948717,0.5769230769230769,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,46,80,21,0.6666666666666666,0.6666666666666666,0.6370370370370371,0.6814814814814815,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch_classical_linear_svc_balanced,47,81,20,0.55,0.5666666666666667,0.52,0.58,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch_classical_linear_svc_balanced,48,81,20,0.55,0.5666666666666667,0.52,0.58,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
