experiment,folds,n_splits,n_repeats,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,weighted_f1_mean,weighted_f1_std,weighted_f1_min,weighted_f1_max
arch_classical_linear_svc_balanced,50,5,10,0.5876190476190476,0.10245832951886708,0.35,0.8571428571428571,0.567,0.1216613082409625,0.30000000000000004,0.8333333333333333,0.5368480776162484,0.10513419718939919,0.30666666666666664,0.81524926686217,0.607918808864264,0.09263206961786474,0.3933333333333333,0.8529534981147885
whorl_resnet18_logistic_balanced,50,5,10,0.8752742020807619,0.02170890304467923,0.822429906542056,0.9158878504672897,0.4503845524464081,0.08216894415451916,0.30927835051546393,0.6690721649484536,0.45018128391176987,0.07311380089065347,0.3076923076923077,0.5975851309184642,0.871740303971037,0.01751449640578054,0.8331993608057721,0.9015134607337145
