experiment,label,folds,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_total
arch_classical_linear_svc_balanced,plain_arch,50,0.791891858141858,0.08756602569185948,0.6093333333333333,0.12197170780828205,0.6823590783087324,0.08943281616624964,750.0
arch_classical_linear_svc_balanced,tented_arch,50,0.32324136974136974,0.13108819873292488,0.5246666666666666,0.21923490957927136,0.3913370769237641,0.1435188802814883,260.0
whorl_resnet18_logistic_balanced,central_pocket_loop_whorl,50,0.16324603174603172,0.20203465882211227,0.16,0.16567733578204574,0.15212598512598513,0.15863882144797714,200.0
whorl_resnet18_logistic_balanced,double_loop_whorl,50,0.32660317460317456,0.20422041073848565,0.2533333333333333,0.16357680035540637,0.26476804241510127,0.13695193555775226,260.0
whorl_resnet18_logistic_balanced,plain_whorl,50,0.9299429358676301,0.012239918415649234,0.937820324005891,0.024618975403594225,0.9336498241942235,0.013120447055932787,4870.0
