task,model,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1,train_class_counts,test_class_counts
arch,logistic_C0.1,8,0.6,0.5333333333333333,0.5238095238095238,0.6190476190476191,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,9,0.75,0.5666666666666667,0.5670995670995671,0.7077922077922079,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,10,0.75,0.6333333333333333,0.6415770609318996,0.7401433691756273,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,11,0.5714285714285714,0.5,0.49867374005305043,0.5805229253505116,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C0.1,12,0.8,0.6666666666666667,0.6875,0.78125,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,13,0.7,0.6666666666666666,0.6428571428571428,0.7142857142857142,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,14,0.65,0.5,0.4982078853046595,0.6362007168458781,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,15,0.8,0.6,0.6078431372549019,0.7450980392156862,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,16,0.8571428571428571,0.8500000000000001,0.8328912466843501,0.8601743084501705,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C0.1,17,0.7,0.4666666666666667,0.4117647058823529,0.6176470588235293,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,18,0.75,0.6333333333333333,0.6415770609318996,0.7401433691756273,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,19,0.7,0.6000000000000001,0.6000000000000001,0.7,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,20,0.7,0.6000000000000001,0.6000000000000001,0.7,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,21,0.8571428571428571,0.8,0.81524926686217,0.8529534981147885,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C0.1,22,0.7,0.5333333333333333,0.53125,0.671875,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,23,0.7,0.6000000000000001,0.6000000000000001,0.7,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,24,0.55,0.43333333333333335,0.4357366771159875,0.5626959247648904,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C0.1,25,0.6,0.5333333333333333,0.5238095238095238,0.6190476190476191,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,1,0.7142857142857143,0.55,0.5367647058823529,0.6596638655462185,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C1,2,0.65,0.5,0.4982078853046595,0.6362007168458781,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,3,0.85,0.7666666666666666,0.7849462365591398,0.8440860215053764,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,4,0.65,0.5,0.4982078853046595,0.6362007168458781,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,5,0.75,0.5666666666666667,0.5670995670995671,0.7077922077922079,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,6,0.9047619047619048,0.8333333333333333,0.86875,0.8982142857142857,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C1,7,0.65,0.5666666666666667,0.561128526645768,0.6598746081504702,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,8,0.65,0.5666666666666667,0.561128526645768,0.6598746081504702,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,9,0.8,0.6,0.6078431372549019,0.7450980392156862,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,10,0.7,0.6000000000000001,0.6000000000000001,0.7,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,11,0.6666666666666666,0.5666666666666667,0.5689149560117301,0.656891495601173,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C1,12,0.8,0.6666666666666667,0.6875,0.78125,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,13,0.7,0.6666666666666666,0.6428571428571428,0.7142857142857142,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,14,0.75,0.6333333333333333,0.6415770609318996,0.7401433691756273,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,15,0.85,0.7,0.7402597402597402,0.8246753246753247,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,16,0.8571428571428571,0.8500000000000001,0.8328912466843501,0.8601743084501705,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C1,17,0.7,0.4666666666666667,0.4117647058823529,0.6176470588235293,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,18,0.75,0.6333333333333333,0.6415770609318996,0.7401433691756273,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,19,0.7,0.6000000000000001,0.6000000000000001,0.7,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,20,0.7,0.6000000000000001,0.6000000000000001,0.7,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,21,0.8571428571428571,0.8,0.81524926686217,0.8529534981147885,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,logistic_C1,22,0.7,0.5333333333333333,0.53125,0.671875,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,23,0.75,0.7,0.6865203761755485,0.7570532915360502,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,24,0.6,0.4666666666666667,0.4666666666666667,0.6,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,25,0.6,0.5333333333333333,0.5238095238095238,0.6190476190476191,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,1,0.6666666666666666,0.5666666666666667,0.5689149560117301,0.656891495601173,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,linear_svc_C0.1,2,0.55,0.5,0.48717948717948717,0.5769230769230769,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,3,0.75,0.7,0.6865203761755485,0.7570532915360502,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,4,0.45,0.3666666666666667,0.3732193732193732,0.48290598290598297,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,5,0.6,0.4666666666666667,0.4666666666666667,0.6,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,6,0.7142857142857143,0.75,0.6971153846153846,0.728021978021978,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,linear_svc_C0.1,7,0.7,0.6666666666666666,0.6428571428571428,0.7142857142857142,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,8,0.55,0.5666666666666667,0.52,0.58,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,9,0.75,0.6333333333333333,0.6415770609318996,0.7401433691756273,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,10,0.6,0.5333333333333333,0.5238095238095238,0.6190476190476191,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,11,0.5714285714285714,0.5,0.49867374005305043,0.5805229253505116,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,linear_svc_C0.1,12,0.8,0.6666666666666667,0.6875,0.78125,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,13,0.55,0.5666666666666667,0.52,0.58,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,14,0.6,0.6,0.5604395604395604,0.6263736263736264,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,15,0.75,0.7,0.6865203761755485,0.7570532915360502,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,16,0.7619047619047619,0.7833333333333333,0.7407407407407407,0.7724867724867724,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,linear_svc_C0.1,17,0.7,0.5333333333333333,0.53125,0.671875,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,18,0.65,0.5666666666666667,0.561128526645768,0.6598746081504702,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,19,0.7,0.6666666666666666,0.6428571428571428,0.7142857142857142,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,20,0.65,0.5666666666666667,0.561128526645768,0.6598746081504702,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,21,0.7619047619047619,0.7333333333333334,0.7214854111405835,0.7669571807502842,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,linear_svc_C0.1,22,0.6,0.4666666666666667,0.4666666666666667,0.6,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,23,0.65,0.6333333333333333,0.6011396011396011,0.670940170940171,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,24,0.65,0.6333333333333333,0.6011396011396011,0.670940170940171,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,25,0.65,0.5666666666666667,0.561128526645768,0.6598746081504702,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,1,0.6666666666666666,0.5666666666666667,0.5689149560117301,0.656891495601173,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,linear_svc_C1,2,0.55,0.5,0.48717948717948717,0.5769230769230769,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,3,0.75,0.7,0.6865203761755485,0.7570532915360502,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,4,0.45,0.3666666666666667,0.3732193732193732,0.48290598290598297,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,5,0.6,0.4666666666666667,0.4666666666666667,0.6,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,6,0.7142857142857143,0.75,0.6971153846153846,0.728021978021978,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,linear_svc_C1,7,0.7,0.6666666666666666,0.6428571428571428,0.7142857142857142,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,8,0.55,0.5666666666666667,0.52,0.58,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,9,0.75,0.6333333333333333,0.6415770609318996,0.7401433691756273,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,10,0.6,0.5333333333333333,0.5238095238095238,0.6190476190476191,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,11,0.5714285714285714,0.5,0.49867374005305043,0.5805229253505116,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,linear_svc_C1,12,0.8,0.6666666666666667,0.6875,0.78125,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,13,0.55,0.5666666666666667,0.52,0.58,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,14,0.6,0.6,0.5604395604395604,0.6263736263736264,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,15,0.75,0.7,0.6865203761755485,0.7570532915360502,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,16,0.7619047619047619,0.7833333333333333,0.7407407407407407,0.7724867724867724,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,linear_svc_C1,17,0.75,0.5666666666666667,0.5670995670995671,0.7077922077922079,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,18,0.65,0.5666666666666667,0.561128526645768,0.6598746081504702,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,19,0.75,0.7,0.6865203761755485,0.7570532915360502,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,20,0.65,0.5666666666666667,0.561128526645768,0.6598746081504702,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,21,0.7619047619047619,0.6833333333333333,0.6920821114369502,0.7549224968579809,"{'plain_arch': 60, 'tented_arch': 20}","{'plain_arch': 15, 'tented_arch': 6}"
arch,linear_svc_C1,22,0.6,0.4666666666666667,0.4666666666666667,0.6,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C1,23,0.7,0.6666666666666666,0.6428571428571428,0.7142857142857142,"{'plain_arch': 60, 'tented_arch': 21}","{'plain_arch': 15, 'tented_arch': 5}"
