task,model,label,folds,precision_mean,precision_std,recall_mean,recall_std,f1_score_mean,f1_score_std,support_total
arch,linear_svc_C0.1,plain_arch,25,0.8019628116981058,0.05935516328482299,0.7146666666666667,0.10456258094238749,0.7519261622940153,0.07017561692668917,375.0
arch,linear_svc_C0.1,tented_arch,25,0.3765555555555556,0.12914908567841146,0.4800000000000001,0.18434066692263398,0.412046509046509,0.1349452311964887,130.0
arch,linear_svc_C1,plain_arch,25,0.801652354181766,0.05876301274329081,0.7253333333333333,0.11274356350191844,0.7572843137005539,0.07374893313049342,375.0
arch,linear_svc_C1,tented_arch,25,0.3893650793650794,0.13490181357984132,0.4733333333333334,0.18027756377319948,0.414034521034521,0.1320427163232169,130.0
arch,logistic_C0.1,plain_arch,25,0.7930043018556951,0.05511098709198614,0.8346666666666667,0.10735886514827703,0.8106296532972579,0.06916839442759429,375.0
arch,logistic_C0.1,tented_arch,25,0.458,0.24888249860196127,0.36266666666666675,0.19515425997191346,0.3848431568431569,0.19341980129008735,130.0
arch,logistic_C1,plain_arch,25,0.8030287218801151,0.051974960340741984,0.8506666666666668,0.0948292813037861,0.8237260711545211,0.059359197578832,375.0
arch,logistic_C1,tented_arch,25,0.49780952380952376,0.2594408998189496,0.38666666666666666,0.19412672455173496,0.4142670662670663,0.19127679657890412,130.0
arch,majority,plain_arch,25,0.7428571428571428,0.014580296087995102,1.0,0.0,0.8523809523809522,0.009720197391996704,375.0
arch,majority,tented_arch,25,0.0,0.0,0.0,0.0,0.0,0.0,130.0
arch,mlp_small,plain_arch,25,0.7770690943043884,0.053767484953437306,0.784,0.11102218663819377,0.7769899072830109,0.06747481885899095,375.0
arch,mlp_small,tented_arch,25,0.3398095238095238,0.23593641329534043,0.33866666666666667,0.2065322143287956,0.32904229104229105,0.1986540950377171,130.0
arch,rbf_svc_C1,plain_arch,25,0.763108187134503,0.03785839081859246,0.9066666666666667,0.0816496580927726,0.8271443809195231,0.046201376529972964,375.0
arch,rbf_svc_C1,tented_arch,25,0.42199999999999993,0.3826297891638281,0.18400000000000002,0.15157200953366712,0.23977777777777778,0.18934259791065478,130.0
arch,rbf_svc_C10,plain_arch,25,0.7616947515848445,0.037636253966196145,0.9573333333333334,0.05047918529600242,0.8476903529740342,0.03574878580450679,375.0
arch,rbf_svc_C10,tented_arch,25,0.4333333333333333,0.46398036356916844,0.132,0.14481149944106778,0.19444444444444442,0.2059864026705646,130.0
whorl,linear_svc_C0.1,central_pocket_loop_whorl,25,0.13466666666666666,0.23599278080609287,0.09,0.12247448713915891,0.09993650793650793,0.1410292225837431,100.0
whorl,linear_svc_C0.1,double_loop_whorl,25,0.20390476190476192,0.18282613824449945,0.2253333333333333,0.218428732338745,0.21055677655677654,0.194295599850806,130.0
whorl,linear_svc_C0.1,plain_whorl,25,0.9252019565008733,0.01174705596777825,0.929804334104776,0.026025427046250573,0.9273685235216188,0.016748341419282865,2435.0
whorl,linear_svc_C1,central_pocket_loop_whorl,25,0.11466666666666665,0.18511257835886427,0.08,0.11902380714238084,0.09117460317460317,0.1384126984126984,100.0
whorl,linear_svc_C1,double_loop_whorl,25,0.19517748917748917,0.19219754954963672,0.2333333333333333,0.24267032964268398,0.21047780977192743,0.21095332222888022,130.0
whorl,linear_svc_C1,plain_whorl,25,0.9256452107472835,0.013210103293352536,0.9293877551020409,0.023869578814307565,0.9273711713290693,0.015304247371810388,2435.0
whorl,logistic_C0.1,central_pocket_loop_whorl,25,0.1834761904761905,0.22556207613196966,0.17,0.15679073101855648,0.16200865800865802,0.14879166753391987,100.0
whorl,logistic_C0.1,double_loop_whorl,25,0.3111904761904762,0.1355052692869733,0.31333333333333335,0.17320508075688773,0.3002601842601842,0.13464673411372827,130.0
whorl,logistic_C0.1,plain_whorl,25,0.932458384984381,0.010688739195628207,0.9285798443088575,0.026962733506550037,0.9303105654619479,0.01498507355210022,2435.0
whorl,logistic_C1,central_pocket_loop_whorl,25,0.1727142857142857,0.22907824515572867,0.16,0.15942605391424158,0.15168542568542567,0.15258831232725031,100.0
whorl,logistic_C1,double_loop_whorl,25,0.36044444444444435,0.18883086093464763,0.29733333333333334,0.1774093404363876,0.30036385836385837,0.12886070379539719,130.0
whorl,logistic_C1,plain_whorl,25,0.931786222122449,0.011604336267056259,0.9347401641068798,0.02796552866376967,0.933020084754913,0.014950381921425244,2435.0
whorl,majority,central_pocket_loop_whorl,25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
whorl,majority,double_loop_whorl,25,0.0,0.0,0.0,0.0,0.0,0.0,130.0
whorl,majority,plain_whorl,25,0.9137012872509258,0.0036713388297246355,1.0,0.0,0.9549011126738332,0.0020105010468499294,2435.0
whorl,rbf_svc_C1,central_pocket_loop_whorl,25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
whorl,rbf_svc_C1,double_loop_whorl,25,0.08,0.27688746209726917,0.016,0.05537749241945383,0.026666666666666665,0.09229582069908972,130.0
whorl,rbf_svc_C1,plain_whorl,25,0.9141398426413414,0.004633007326727061,0.9967220702714076,0.004876984585422211,0.9536358587269064,0.003480888777661232,2435.0
whorl,rbf_svc_C10,central_pocket_loop_whorl,25,0.0,0.0,0.0,0.0,0.0,0.0,100.0
whorl,rbf_svc_C10,double_loop_whorl,25,0.0,0.0,0.0,0.0,0.0,0.0,130.0
whorl,rbf_svc_C10,plain_whorl,25,0.9137012872509258,0.0036713388297246355,1.0,0.0,0.9549011126738332,0.0020105010468499294,2435.0
