,precision,recall,f1-score,support
arch,0.7589285714285714,0.7522123893805309,0.7555555555555555,113.0
left_slant_loop,0.914572864321608,0.9381443298969072,0.926208651399491,388.0
right_slant_loop,0.9068627450980392,0.9226932668329177,0.9147095179233622,401.0
whorl,0.9807162534435262,0.9393139841688655,0.9595687331536388,379.0
accuracy,0.9172521467603435,0.9172521467603435,0.9172521467603435,0.9172521467603435
macro avg,0.8902701085729362,0.8880909925698053,0.8890106145080119,1281.0
weighted avg,0.9179989233158646,0.9172521467603435,0.9174252935778905,1281.0
