fold,stage,epoch,seconds,train_loss,train_macro_f1,validation_loss,validation_accuracy,validation_macro_f1
1,head,1,23.258698425999995,1.3283975956051848,0.32072804264931565,1.3185138802930534,0.44176706827309237,0.2725068522032469
1,head,2,4.837591087999982,1.211102427438248,0.4533906937371557,1.1831711899324593,0.5542168674698795,0.45882637131874415
1,head,3,6.497449935999981,1.1355068905408991,0.5303453689424764,1.1952653639766586,0.4939759036144578,0.40811152703891546
1,full,1,15.139751822000022,0.9732680902924649,0.6227390592409796,0.8510349780680185,0.6666666666666666,0.5828001467300039
1,full,2,6.644521857000001,0.7160100923028103,0.7836086739432166,0.6771005459099888,0.8072289156626506,0.7618505143609323
1,full,3,8.028267588999995,0.564765217692353,0.8388128569088782,0.557646568879545,0.8714859437751004,0.8377230881266031
1,full,4,6.566225513000006,0.4657006818194722,0.8883682176338838,0.5604233760910341,0.8875502008032129,0.8493498993498994
1,full,5,8.654229101999988,0.40918805779412737,0.9254245528693078,0.5211081489262331,0.8955823293172691,0.8569106212442361
1,full,6,6.561524431000009,0.3980570969193481,0.9217020780435672,0.4927797161910429,0.891566265060241,0.8549754586458688
1,full,7,9.850090848999969,0.3619345357251722,0.9424510942665225,0.5163535436233843,0.8955823293172691,0.8608689229958666
1,full,8,6.589782619000005,0.3390492921651796,0.9673122433292958,0.48490439935860385,0.9116465863453815,0.8846845556404379
1,full,9,8.363755187000038,0.3318747857282328,0.9601020963014403,0.4819594124952952,0.9116465863453815,0.882939491085312
1,full,10,6.654508838000027,0.3142665278079898,0.9719743427769059,0.509210668175096,0.8955823293172691,0.8546370084525488
1,full,11,8.126922681999986,0.31007037987542707,0.9743383327041726,0.49470184378355864,0.9156626506024096,0.8866284289136888
1,full,12,6.666070429999991,0.2965716740419698,0.9784656123716671,0.5189248686095318,0.9196787148594378,0.8973575400487227
1,full,13,8.350521491999984,0.2943194997172023,0.9804015982206712,0.5129627849921644,0.9196787148594378,0.8925223717325576
1,full,14,6.670681901000023,0.28526579502016997,0.9874738664191876,0.5116695679095854,0.9196787148594378,0.8875728434259503
1,full,15,8.153374821,0.28220442180023636,0.9869391094094648,0.5154417894451494,0.9076305220883534,0.8719910051702098
2,head,1,10.564944429000036,1.337899561882019,0.31843304637198866,1.2601370684192699,0.4483985765124555,0.36791440968011424
2,head,2,5.299673640000037,1.2207737436294557,0.4256511539108712,1.1872156459665808,0.5231316725978647,0.434562739955729
2,head,3,5.064390249000041,1.141688497543335,0.5114027946464339,1.1469645708056955,0.501779359430605,0.3981284075001842
2,full,1,14.701779127000009,0.9675554037094116,0.6347913375093094,0.8176075941303023,0.7224199288256228,0.6731228309480719
2,full,2,8.77373454000002,0.7254239530563354,0.8033968274511288,0.6300414295807428,0.8256227758007118,0.7802291580500615
2,full,3,7.220867125000041,0.5560403091907501,0.8624627133775937,0.5435051714398259,0.8683274021352313,0.8184553071048628
2,full,4,8.429599313999972,0.4799766297340393,0.8977494540277543,0.5216958268257222,0.8861209964412812,0.8374433726470358
2,full,5,7.9606165929999975,0.4440629460811615,0.901998007467543,0.5251686950595353,0.8825622775800712,0.8392137525621688
2,full,6,7.5342661519999865,0.3898508186340332,0.9379576052007097,0.5195293299243968,0.8825622775800712,0.8324599223110988
2,full,7,8.14221738499998,0.34114011192321775,0.9610594270981265,0.5235570792201575,0.8825622775800712,0.8251744534823191
2,full,8,7.182847099000014,0.3334267234802246,0.9689029271760347,0.5217025699988803,0.8932384341637011,0.8441779833492468
2,full,9,8.008253575000026,0.31796363520622256,0.9648959550926987,0.5154608929284527,0.8932384341637011,0.8460622045636979
2,full,10,6.954309054000021,0.3236721911430359,0.965292582572542,0.5049177382764443,0.9039145907473309,0.857749145531951
