fold,subjects,rows,accuracy,macro_f1,best_epoch_validation_macro_f1
1,22,249,0.9196787148594378,0.8973575400487227,0.8973575400487227
2,23,281,0.9074733096085409,0.8605841018884497,0.8605841018884497
3,22,262,0.9236641221374046,0.9086730600333589,0.9086730600333589
4,21,235,0.9234042553191489,0.8976497367715401,0.8976497367715401
5,22,254,0.9133858267716536,0.8779999113256768,0.8779999113256768
