epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
1,1.4349288637255444,0.2851851851851852,1.3746851571770602,0.2936046511627907
2,1.3812106679987024,0.25925925925925924,1.3662721500840298,0.311046511627907
3,1.361440486083796,0.32407407407407407,1.3749975409618644,0.33430232558139533
4,1.325118081363631,0.3506172839506173,1.3138109168340995,0.37790697674418605
5,1.3074238971427634,0.37839506172839504,1.2392683334128802,0.40406976744186046
6,1.2734798593285643,0.3907407407407407,1.219075543935909,0.4331395348837209
7,1.2634240456569341,0.38765432098765434,1.2227429705996846,0.37209302325581395
8,1.2362090204968865,0.41790123456790124,1.2947736507238343,0.3866279069767442
9,1.2193094218218767,0.4154320987654321,1.2815360052641047,0.32848837209302323
10,1.2203160021040174,0.4308641975308642,1.1510203550028246,0.5261627906976745
11,1.1908747107894333,0.4524691358024691,1.1219653279282327,0.47674418604651164
12,1.1880141258239747,0.4537037037037037,1.2343167399251185,0.4069767441860465
13,1.1663324538572335,0.4648148148148148,1.108918774959653,0.5116279069767442
14,1.1286181408681988,0.48333333333333334,1.1263499370841092,0.48255813953488375
15,1.1109050656542365,0.5012345679012346,1.0402605894000032,0.5087209302325582
16,1.0898864579789433,0.5172839506172839,0.9875079975571743,0.6308139534883721
17,1.06793094623236,0.524074074074074,0.9301828173703925,0.6337209302325582
18,1.0670433026772959,0.5296296296296297,0.9803260952927345,0.5901162790697675
19,1.0153264549043444,0.562962962962963,1.2282065430352853,0.36627906976744184
20,1.001329740477197,0.5666666666666667,1.1294746981110684,0.5174418604651163
