task,model,accuracy_mean,balanced_accuracy_mean,macro_f1_mean,macro_f1_std
arch,logistic_C1,0.6442722753855277,0.5671541172671312,0.5267058045879448,0.1179719028442409
whorl,logistic_C0.1,0.8709005697349878,0.4685964403897919,0.4460404980857464,0.0855080057847173
