task,model,repeat,split,split_seed,train_rows,test_rows,train_subjects,test_subjects,subject_overlap,accuracy,balanced_accuracy,macro_f1,weighted_f1,test_class_counts
arch,logistic_C0.1,2,5,244665,90,11,26,5,0,0.8181818181818182,0.75,0.7708333333333333,0.7992424242424242,"{'plain_arch': 7, 'tented_arch': 4}"
arch,logistic_C0.1,3,1,244666,95,6,27,4,0,0.5,0.3,0.3333333333333333,0.5555555555555555,"{'plain_arch': 5, 'tented_arch': 1}"
arch,logistic_C0.1,3,2,244666,91,10,27,4,0,0.5,0.6428571428571428,0.4949494949494949,0.47474747474747475,"{'plain_arch': 3, 'tented_arch': 7}"
arch,logistic_C0.1,3,3,244666,72,29,24,7,0,0.6551724137931034,0.5978260869565217,0.5684523809523809,0.681855500821018,"{'plain_arch': 23, 'tented_arch': 6}"
arch,logistic_C0.1,3,4,244666,71,30,23,8,0,0.7666666666666667,0.62,0.6103896103896104,0.7748917748917747,"{'plain_arch': 25, 'tented_arch': 5}"
arch,logistic_C0.1,3,5,244666,75,26,23,8,0,0.6538461538461539,0.5827067669172932,0.5783783783783785,0.6607068607068608,"{'plain_arch': 19, 'tented_arch': 7}"
arch,logistic_C0.1,4,1,244668,76,25,26,5,0,0.8,0.6428571428571428,0.6612466124661247,0.756639566395664,"{'plain_arch': 18, 'tented_arch': 7}"
arch,logistic_C0.1,4,2,244668,81,20,24,7,0,0.65,0.5,0.4982078853046595,0.6637992831541218,"{'plain_arch': 16, 'tented_arch': 4}"
arch,logistic_C0.1,4,3,244668,93,8,26,5,0,0.5,0.4,0.3333333333333333,0.41666666666666663,"{'plain_arch': 5, 'tented_arch': 3}"
arch,logistic_C0.1,4,4,244668,91,10,25,6,0,0.5,0.5,0.4949494949494949,0.494949494949495,"{'plain_arch': 5, 'tented_arch': 5}"
arch,logistic_C0.1,4,5,244668,63,38,23,8,0,0.7105263157894737,0.5460829493087558,0.5431693989071038,0.7178027034800115,"{'plain_arch': 31, 'tented_arch': 7}"
arch,logistic_C0.1,5,1,244669,84,17,27,4,0,0.7058823529411765,0.5480769230769231,0.5502645502645502,0.6903205726735138,"{'plain_arch': 13, 'tented_arch': 4}"
arch,logistic_C0.1,5,2,244669,82,19,24,7,0,0.5789473684210527,0.6145833333333333,0.5128205128205128,0.6356275303643725,"{'plain_arch': 16, 'tented_arch': 3}"
arch,logistic_C0.1,5,3,244669,91,10,28,3,0,0.3,0.5,0.23076923076923078,0.13846153846153847,"{'plain_arch': 3, 'tented_arch': 7}"
arch,logistic_C0.1,5,4,244669,73,28,22,9,0,0.7142857142857143,0.672514619883041,0.672514619883041,0.7142857142857143,"{'plain_arch': 19, 'tented_arch': 9}"
arch,logistic_C0.1,5,5,244669,74,27,23,8,0,0.7777777777777778,0.5833333333333334,0.5597826086956521,0.8007246376811594,"{'plain_arch': 24, 'tented_arch': 3}"
arch,logistic_C1,1,1,244664,85,16,26,5,0,0.625,0.5,0.5,0.625,"{'plain_arch': 12, 'tented_arch': 4}"
arch,logistic_C1,1,2,244664,82,19,24,7,0,0.7368421052631579,0.5833333333333334,0.5622119815668203,0.6640795537230172,"{'plain_arch': 13, 'tented_arch': 6}"
arch,logistic_C1,1,3,244664,81,20,25,6,0,0.65,0.43333333333333335,0.3939393939393939,0.5909090909090909,"{'plain_arch': 15, 'tented_arch': 5}"
arch,logistic_C1,1,4,244664,73,28,24,7,0,0.5714285714285714,0.47953216374269003,0.475,0.5553571428571428,"{'plain_arch': 19, 'tented_arch': 9}"
arch,logistic_C1,1,5,244664,83,18,25,6,0,0.5,0.5,0.4109090909090909,0.5890909090909091,"{'plain_arch': 16, 'tented_arch': 2}"
arch,logistic_C1,2,1,244665,82,19,24,7,0,0.631578947368421,0.5625,0.4904214559386973,0.5327687033676145,"{'plain_arch': 11, 'tented_arch': 8}"
arch,logistic_C1,2,2,244665,75,26,24,7,0,0.7692307692307693,0.7246376811594203,0.6285714285714286,0.8043956043956043,"{'plain_arch': 23, 'tented_arch': 3}"
arch,logistic_C1,2,3,244665,79,22,26,5,0,0.7272727272727273,0.5520833333333334,0.5416666666666667,0.6742424242424243,"{'plain_arch': 16, 'tented_arch': 6}"
arch,logistic_C1,2,4,244665,78,23,24,7,0,0.6086956521739131,0.6777777777777778,0.5801217038539555,0.6420319252138638,"{'plain_arch': 18, 'tented_arch': 5}"
arch,logistic_C1,2,5,244665,90,11,26,5,0,0.8181818181818182,0.75,0.7708333333333333,0.7992424242424242,"{'plain_arch': 7, 'tented_arch': 4}"
arch,logistic_C1,3,1,244666,95,6,27,4,0,0.5,0.3,0.3333333333333333,0.5555555555555555,"{'plain_arch': 5, 'tented_arch': 1}"
arch,logistic_C1,3,2,244666,91,10,27,4,0,0.6,0.7142857142857143,0.6,0.6,"{'plain_arch': 3, 'tented_arch': 7}"
arch,logistic_C1,3,3,244666,72,29,24,7,0,0.6896551724137931,0.681159420289855,0.6255380200860832,0.7163706525503389,"{'plain_arch': 23, 'tented_arch': 6}"
arch,logistic_C1,3,4,244666,71,30,23,8,0,0.7333333333333333,0.6000000000000001,0.5833333333333334,0.7500000000000001,"{'plain_arch': 25, 'tented_arch': 5}"
arch,logistic_C1,3,5,244666,75,26,23,8,0,0.6923076923076923,0.6090225563909775,0.6090225563909775,0.6923076923076923,"{'plain_arch': 19, 'tented_arch': 7}"
arch,logistic_C1,4,1,244668,76,25,26,5,0,0.72,0.5873015873015872,0.592074592074592,0.6925874125874125,"{'plain_arch': 18, 'tented_arch': 7}"
arch,logistic_C1,4,2,244668,81,20,24,7,0,0.65,0.5,0.4982078853046595,0.6637992831541218,"{'plain_arch': 16, 'tented_arch': 4}"
arch,logistic_C1,4,3,244668,93,8,26,5,0,0.5,0.4,0.3333333333333333,0.41666666666666663,"{'plain_arch': 5, 'tented_arch': 3}"
arch,logistic_C1,4,4,244668,91,10,25,6,0,0.5,0.5,0.4949494949494949,0.494949494949495,"{'plain_arch': 5, 'tented_arch': 5}"
arch,logistic_C1,4,5,244668,63,38,23,8,0,0.7105263157894737,0.5460829493087558,0.5431693989071038,0.7178027034800115,"{'plain_arch': 31, 'tented_arch': 7}"
arch,logistic_C1,5,1,244669,84,17,27,4,0,0.7647058823529411,0.5865384615384616,0.5952380952380952,0.7338935574229692,"{'plain_arch': 13, 'tented_arch': 4}"
arch,logistic_C1,5,2,244669,82,19,24,7,0,0.5789473684210527,0.6145833333333333,0.5128205128205128,0.6356275303643725,"{'plain_arch': 16, 'tented_arch': 3}"
arch,logistic_C1,5,3,244669,91,10,28,3,0,0.3,0.5,0.23076923076923078,0.13846153846153847,"{'plain_arch': 3, 'tented_arch': 7}"
arch,logistic_C1,5,4,244669,73,28,22,9,0,0.7142857142857143,0.672514619883041,0.672514619883041,0.7142857142857143,"{'plain_arch': 19, 'tented_arch': 9}"
arch,logistic_C1,5,5,244669,74,27,23,8,0,0.8148148148148148,0.6041666666666666,0.5896656534954408,0.8260722728807836,"{'plain_arch': 24, 'tented_arch': 3}"
arch,linear_svc_C0.1,1,1,244664,85,16,26,5,0,0.625,0.5,0.5,0.625,"{'plain_arch': 12, 'tented_arch': 4}"
arch,linear_svc_C0.1,1,2,244664,82,19,24,7,0,0.7894736842105263,0.7115384615384616,0.7285714285714285,0.7759398496240602,"{'plain_arch': 13, 'tented_arch': 6}"
arch,linear_svc_C0.1,1,3,244664,81,20,25,6,0,0.55,0.36666666666666664,0.3548387096774194,0.5322580645161291,"{'plain_arch': 15, 'tented_arch': 5}"
arch,linear_svc_C0.1,1,4,244664,73,28,24,7,0,0.6071428571428571,0.5935672514619883,0.5809523809523809,0.6183673469387755,"{'plain_arch': 19, 'tented_arch': 9}"
arch,linear_svc_C0.1,1,5,244664,83,18,25,6,0,0.4444444444444444,0.46875,0.375,0.5370370370370371,"{'plain_arch': 16, 'tented_arch': 2}"
arch,linear_svc_C0.1,2,1,244665,82,19,24,7,0,0.5789473684210527,0.5340909090909092,0.5128205128205128,0.5411605937921727,"{'plain_arch': 11, 'tented_arch': 8}"
arch,linear_svc_C0.1,2,2,244665,75,26,24,7,0,0.5384615384615384,0.7391304347826086,0.4901960784313726,0.6108597285067874,"{'plain_arch': 23, 'tented_arch': 3}"
arch,linear_svc_C0.1,2,3,244665,79,22,26,5,0,0.6818181818181818,0.5208333333333334,0.5111111111111111,0.6424242424242425,"{'plain_arch': 16, 'tented_arch': 6}"
arch,linear_svc_C0.1,2,4,244665,78,23,24,7,0,0.6086956521739131,0.75,0.5964912280701754,0.6361556064073227,"{'plain_arch': 18, 'tented_arch': 5}"
arch,linear_svc_C0.1,2,5,244665,90,11,26,5,0,0.9090909090909091,0.875,0.8952380952380952,0.9056277056277057,"{'plain_arch': 7, 'tented_arch': 4}"
arch,linear_svc_C0.1,3,1,244666,95,6,27,4,0,0.5,0.3,0.3333333333333333,0.5555555555555555,"{'plain_arch': 5, 'tented_arch': 1}"
arch,linear_svc_C0.1,3,2,244666,91,10,27,4,0,0.5,0.45238095238095233,0.45054945054945056,0.5164835164835165,"{'plain_arch': 3, 'tented_arch': 7}"
arch,linear_svc_C0.1,3,3,244666,72,29,24,7,0,0.6896551724137931,0.681159420289855,0.6255380200860832,0.7163706525503389,"{'plain_arch': 23, 'tented_arch': 6}"
arch,linear_svc_C0.1,3,4,244666,71,30,23,8,0,0.6666666666666666,0.56,0.5341614906832298,0.6997929606625258,"{'plain_arch': 25, 'tented_arch': 5}"
arch,linear_svc_C0.1,3,5,244666,75,26,23,8,0,0.6538461538461539,0.6278195488721805,0.6067226890756303,0.6695539754363283,"{'plain_arch': 19, 'tented_arch': 7}"
arch,linear_svc_C0.1,4,1,244668,76,25,26,5,0,0.64,0.5753968253968254,0.5714285714285714,0.6468571428571428,"{'plain_arch': 18, 'tented_arch': 7}"
arch,linear_svc_C0.1,4,2,244668,81,20,24,7,0,0.55,0.53125,0.48717948717948717,0.5948717948717949,"{'plain_arch': 16, 'tented_arch': 4}"
arch,linear_svc_C0.1,4,3,244668,93,8,26,5,0,0.5,0.4666666666666667,0.4666666666666667,0.5,"{'plain_arch': 5, 'tented_arch': 3}"
arch,linear_svc_C0.1,4,4,244668,91,10,25,6,0,0.5,0.5,0.45054945054945056,0.45054945054945056,"{'plain_arch': 5, 'tented_arch': 5}"
arch,linear_svc_C0.1,4,5,244668,63,38,23,8,0,0.7368421052631579,0.6175115207373272,0.6041666666666667,0.7489035087719299,"{'plain_arch': 31, 'tented_arch': 7}"
arch,linear_svc_C0.1,5,1,244669,84,17,27,4,0,0.7058823529411765,0.5480769230769231,0.5502645502645502,0.6903205726735138,"{'plain_arch': 13, 'tented_arch': 4}"
arch,linear_svc_C0.1,5,2,244669,82,19,24,7,0,0.47368421052631576,0.5520833333333333,0.43452380952380953,0.5363408521303259,"{'plain_arch': 16, 'tented_arch': 3}"
arch,linear_svc_C0.1,5,3,244669,91,10,28,3,0,0.5,0.6428571428571428,0.4949494949494949,0.47474747474747475,"{'plain_arch': 3, 'tented_arch': 7}"
arch,linear_svc_C0.1,5,4,244669,73,28,22,9,0,0.6428571428571429,0.6783625730994152,0.6354166666666667,0.6540178571428571,"{'plain_arch': 19, 'tented_arch': 9}"
arch,linear_svc_C0.1,5,5,244669,74,27,23,8,0,0.7777777777777778,0.5833333333333334,0.5597826086956521,0.8007246376811594,"{'plain_arch': 24, 'tented_arch': 3}"
arch,linear_svc_C1,1,1,244664,85,16,26,5,0,0.625,0.5,0.5,0.625,"{'plain_arch': 12, 'tented_arch': 4}"
arch,linear_svc_C1,1,2,244664,82,19,24,7,0,0.7894736842105263,0.7115384615384616,0.7285714285714285,0.7759398496240602,"{'plain_arch': 13, 'tented_arch': 6}"
arch,linear_svc_C1,1,3,244664,81,20,25,6,0,0.55,0.36666666666666664,0.3548387096774194,0.5322580645161291,"{'plain_arch': 15, 'tented_arch': 5}"
